Company,Date,Open,High,Low,Close,Volume
1JANATAMF,18/02/2008,6.3,6.4,6.3,6.4,81151
1JANATAMF,16/03/2008,2.7,2.79,2.7,2.79,64285
1JANATAMF,17/03/2008,5.98,6.07,5.89,6.07,857182
1JANATAMF,18/03/2008,6.2,6.3,6.1,6.1,10054
1JANATAMF,18/04/2008,6.3,6.3,6.2,6.3,138200
1JANATAMF,16/05/2008,2.87,2.87,2.79,2.79,66048
1JANATAMF,17/05/2008,6.16,6.35,6.16,6.25,309967
1JANATAMF,18/05/2008,6.4,6.5,6.4,6.5,564025
1JANATAMF,16/06/2008,2.87,2.96,2.87,2.96,116340
1JANATAMF,17/06/2008,6.53,6.53,6.44,6.53,232627
1JANATAMF,18/07/2008,6.2,6.2,6.1,6.1,16719
1JANATAMF,16/08/2008,3.48,3.48,3.22,3.31,793127
1JANATAMF,17/08/2008,6.89,6.98,6.71,6.71,903514
1JANATAMF,18/08/2008,6.2,6.3,6.2,6.2,52060
1JANATAMF,16/09/2008,2.89,2.98,2.89,2.89,98132
1JANATAMF,17/10/2008,6.9,6.9,6.7,6.8,1095770
1JANATAMF,18/10/2008,4.7,4.7,4.5,4.6,135068
1JANATAMF,16/11/2008,3.44,3.44,3.35,3.44,302642
1JANATAMF,17/11/2008,6.5,6.6,6.5,6.6,210861
1JANATAMF,16/12/2008,4.44,4.53,4.44,4.44,461579
1JANATAMF,17/01/2009,5.16,5.25,5.07,5.25,1060166
1JANATAMF,18/01/2009,6.5,6.6,6.5,6.5,64634
1JANATAMF,16/02/2009,2.7,2.79,2.7,2.79,56374
1JANATAMF,17/02/2009,6.71,6.71,6.25,6.44,1158739
1JANATAMF,16/03/2009,2.7,2.79,2.7,2.79,75892
1JANATAMF,17/03/2009,6.07,6.16,5.98,6.07,781592
1JANATAMF,17/04/2009,6.44,6.62,6.35,6.53,2138263
1JANATAMF,18/04/2009,6.3,6.3,6.2,6.3,79831
1JANATAMF,16/05/2009,2.79,2.79,2.79,2.79,150661
1JANATAMF,17/05/2009,6.16,6.25,6.16,6.25,227013
